Episode,Reward
0, -1101.0167365721784
1, -1488.9266635717092
2, -1513.016372781743
3, -1560.2287921418801
4,-1049.0314262570325
5, -1214.542909952797
6,-778.7174400095122
7, -776.7499632335912
8, -511.56830224714645
9,-745.5751075785374
10,-650.152144842993
11, -365.22193034349385
12, -257.64648788415434
13,-260.6640773885902
14,-379.82641815345113
15,-501.29865416259554
16,-252.7361130059081
17, -449.5995782707171
18, -371.7633809421398
19,-128.23375372924926
20,-571.8889986929246
21,-759.460240443988
22,-224.67042929666738
23,-372.31433403790106
24, -364.5214837343113
25, -371.3184865601845
26, -727.8617149410942
27,-619.095950990537
28,-375.7269672730817
29,-125.9877389279030
30,-373.95396322002404
31, -604.486039996582
32,-367.55324219825746
33, -680.9659996072195
34, -251.71957833869158
35, -249.2296342292851
36, -373.40706107633093
37, -613.297389886027
38,-488.59418565766623
39,-254.5000903372659
40, -212.85397000368
41, -489.97443595697155
42, -734.7460284116631
43, -702.0147620926052
44,-498.4099495419094
45, -369.1501443521931
46,-377.27781818269017
47, -612.0987785805575
48, -369.7549577929002
49,-497.063176947345
50,-502.361718674542
51,-610.5113985456012
52,-379.16990756744497
53,-675.4542363460263
54, -378.59853306264034
55,-598.841275094273
56,-745.4773119704842
57, -508.81724553289587
58, -578.5632296764985
59,-370.58472378029296
60,-504.254885101696
61,-375.9160200625076
62, -501.00235009865605
63,-384.9069932421586
64,-568.7869865204455
65,-263.46616974289043
66, -132.90613371696855
67,-389.7846156609005
68, -131.92738599051978
69, -569.2343531693899
70, -600.0432558171399
71,-533.0409425141819
72, -418.9839429844654
73, -495.86470875084586
74, -716.3240878081997
75, -509.4088215257509
76,-550.1993495861966
77, -373.5853697592651
78,-496.71987038240906
79, -383.33524943912596
80,-373.29621222045625
81, -370.7265693094949
82,-621.0266989077783
83,-501.653145821858
84,-494.76495329348046
85, -733.6113454074908
86,-488.2636035302996
87,-600.8238598835648
88, -637.631708449001
89, -374.55609455400537
90,-616.5467129734584
91,-491.80308533368344
92,-254.70299012620674
93,-250.01518843636262
94, -378.3009890187585
95, -130.22520825536503
96,-447.4871120435351
97, -127.13754313095447
98,-264.5186054438644
99,-130.76361616364252
